A1;A2;A3;A4;A5;A6;A7;A8;A9;A10;A11;A12;A14;Class
c;29;6.057.748.193.568.870;u;g;cc;v;4.596.959.866.072.080;f;472;t;t;69996;0
c;39;2.372.267.917.359.940;y;p;no_cc;v;2.484.817.414.529.150;t;;;t;34031;0
c;61;10.178.247.262.040.300;u;p;cc;t;4.960.790.074.116.560;t;562;f;t;100072;0
b;42;15.285.913.918.433.200;y;g;cc;t;4.257.124.788.725.470;t;573;t;f;85982;0
b;66;2.459.577.283.845.080;y;p;no_cc;t;1.042.552.571.786.670;t;302;f;f;56683;0
d;44;16.068.137.325.955.500;u;g;no_cc;t;4.652.976.073.219.580;f;;t;f;134091;1
a;59;18.656.702.405.130.500;y;p;cc;t;0.5818319894273805;t;625;f;t;137797;1
b;45;2.850.951.686.938.470;y;g;no_cc;t;4.087.248.542.455.950;t;448;f;t;37618;0
a;33;17.337.359.529.475.400;u;p;no_cc;v;19.031.164.673.829.000;f;839;f;f;26587;1
a;32;8.967.654.246.264.250;y;g;cc;v;4.389.871.602.225.340;t;787;t;t;82790;0
c;64;0.8023374566164221;u;g;no_cc;t;4.340.283.450.537.250;f;737;t;f;51480;1
b;68;5.245.113.895.702.540;y;g;cc;t;4.029.627.000.588.100;f;364;f;f;118530;1
d;61;4.103.968.269.896.610;y;p;no_cc;t;3.950.152.181.535.300;f;655;f;t;40527;1
b;69;9.823.786.169.086.060;u;p;cc;v;1.523.395.695.490.200;t;832;t;f;43569;0
c;20;11.203.890.216.805.200;u;p;cc;v;0.4045964152562609;t;551;f;f;31151;0
d;54;39.785.559.904.574.100;y;p;no_cc;v;2.014.900.893.825.800;f;534;f;t;91094;1
a;68;969.470.433.275.369;y;p;no_cc;t;0.8676225749325434;t;526;t;f;79174;0
c;24;8.655.071.258.939.800;y;g;cc;v;34.747.554.445.123.000;t;824;t;t;64739;0
c;38;81.707.207.094.928;y;g;no_cc;t;17.304.986.326.889.200;f;612;f;f;52954;0
a;26;2.579.028.270.449.390;y;p;no_cc;t;4.878.051.004.299.570;f;348;f;t;132984;1
b;56;17.088.758.739.006.500;y;p;no_cc;t;320.486.038.672.666;f;417;f;t;132863;1
b;35;668.643.219.924.431;y;g;no_cc;v;4.112.402.818.171.800;f;353;t;f;129373;1
d;21;9.293.759.891.275.850;u;p;cc;t;0.6626233637092421;f;343;f;t;55303;0
b;42;5.567.628.930.139.290;y;g;no_cc;v;4.310.072.411.363.110;f;352;t;f;54700;0
a;31;57.161.268.946.989.900;u;p;cc;t;4.613.785.952.566.970;f;824;t;f;113036;1
d;67;27.997.909.366.028.400;y;g;no_cc;t;24.353.095.940.946.700;f;401;t;t;143728;1
b;26;7.694.929.331.919.360;u;p;cc;v;3.031.264.688.754.880;t;697;t;t;87568;0
d;43;18.704.374.855.752.300;u;p;cc;t;38.240.490.045.149.700;f;437;f;t;86788;1
c;19;32.367.923.640.424.300;u;g;cc;v;0.8741931363020627;t;686;f;f;91045;1
b;37;4.254.364.386.164.160;y;g;cc;t;25.128.303.823.172.100;f;410;t;t;57842;0
c;45;507.610.378.684.455;y;p;cc;t;19.933.151.388.615.600;t;316;f;t;33900;0
d;64;24.240.973.241.508.000;y;g;no_cc;t;0.7318699608112456;f;481;f;t;147992;1
d;24;11.483.682.473.920.300;u;p;no_cc;t;18.376.721.114.576.500;f;835;t;t;100059;1
b;61;61.062.004.244.163.200;u;g;cc;t;0.34086154692746784;t;840;t;f;21881;0
a;25;28.863.055.324.025.500;u;g;cc;v;0.12905953474743492;t;470;t;f;53037;0
d;64;5.812.382.214.226.120;u;g;cc;t;0.6758314457741138;f;708;f;f;21630;1
d;52;15.436.271.527.420.200;y;p;cc;v;4.815.575.557.945.860;t;677;t;f;40789;0
a;31;4.811.401.018.548.170;y;g;no_cc;t;2.747.647.679.475.080;t;487;t;t;146083;0
b;34;5.325.894.325.515.850;y;g;no_cc;t;48.291.108.057.661;t;529;t;f;108059;0
c;53;0.5182353682242691;u;g;no_cc;t;216.248.939.165.066;t;418;t;f;103494;0
c;67;3.366.042.781.939.200;y;p;no_cc;v;15.590.806.654.262.900;t;455;t;t;66151;0
c;57;13.441.467.693.897.400;y;p;cc;t;25.307.093.142.012.200;t;764;t;f;68920;0
c;21;0.6337497047276774;u;g;no_cc;v;21.975.584.431.645.500;f;403;f;t;129388;1
c;19;9.899.602.323.899.450;u;p;cc;v;0.5283234213087196;f;801;f;t;87231;1
c;23;32.235.384.497.472.200;u;g;no_cc;t;3.204.131.573.451.030;f;474;t;f;137946;1
d;59;809.874.445.854.635;y;p;no_cc;t;1.080.190.912.547.990;t;720;f;f;100357;0
d;21;25.464.065.476.376.300;y;g;cc;t;30.979.397.744.891.400;f;433;t;t;23262;0
d;46;68.150.272.222.392.900;u;p;cc;t;32.510.054.619.907.600;f;690;f;t;86981;1
c;35;76.022.785.988.968.600;y;p;no_cc;v;0.7601242656432405;f;800;t;f;140951;1
d;43;5.956.387.406.078.440;u;g;no_cc;t;0.3067481355533408;f;332;f;t;143099;1
c;61;4.715.761.885.501.580;y;p;no_cc;t;39.038.079.303.421.900;t;354;t;t;101972;0
a;51;4.118.409.141.472.680;y;g;no_cc;v;22.990.021.188.466.000;t;818;f;f;95485;1
b;27;34.886.826.654.299.500;y;p;no_cc;v;0.29081897752737895;f;311;f;f;74722;0
c;53;929.529.144.247.826;y;g;no_cc;t;49.743.315.858.488.300;t;827;t;t;109499;0
b;31;8.306.194.077.877.290;u;p;cc;t;0.2889028049818332;t;672;f;t;70818;0
d;48;9.650.269.106.665.120;u;p;cc;v;3.475.176.144.292.760;f;783;t;t;49932;0
c;65;12.429.722.348.554.400;u;g;cc;v;4.918.394.626.317.060;f;527;t;f;26901;0
d;32;7.308.674.752.036.440;y;g;no_cc;v;1.195.900.521.079.620;f;606;t;t;137473;1
c;25;9.383.404.568.210.370;y;g;no_cc;t;0.7112468434359809;f;756;t;f;119023;1
a;31;18.123.306.616.566.000;u;p;no_cc;v;0.6069246971121445;f;459;t;t;28597;0
c;40;0.664962673667775;y;g;cc;t;15.163.757.378.379.700;f;630;f;t;149631;1
c;57;74.112.064.929.005.900;y;p;cc;t;0.5052290550532335;f;524;f;f;83909;0
d;38;5.744.731.131.799.110;y;p;no_cc;v;34.608.067.084.706.500;t;803;f;t;92391;1
a;33;841.828.776.758.272;u;g;cc;t;0.31145899065031346;t;755;t;f;104214;0
d;62;1.397.723.766.262.890;y;p;no_cc;v;25.471.106.407.489.400;t;344;f;f;28263;0
d;35;7.952.673.118.598.900;u;p;cc;v;4.983.484.269.264.880;f;513;f;t;83293;0
d;64;20.162.732.004.774.400;y;p;cc;t;4.069.851.347.530.090;t;358;t;f;132824;0
c;41;1.636.559.428.657.040;y;p;cc;t;30.760.971.911.550.500;t;494;f;f;144933;0
c;43;16.426.579.793.099.200;y;p;cc;v;15.312.681.039.330.500;f;788;t;t;45805;1
c;42;814.574.720.231.382;y;g;cc;v;31.194.791.814.581.900;f;456;t;t;111679;0
b;62;6.651.972.206.962.000;u;p;no_cc;t;26.352.073.195.582.500;t;525;t;t;31874;0
d;58;5.230.654.247.691.190;y;p;no_cc;v;2.130.416.919.451.850;f;711;f;f;113065;1
a;46;35.883.048.412.350.200;u;g;cc;v;0.6535518837009974;t;504;f;t;106402;0
b;32;8.772.005.408.131.080;y;g;cc;t;4.433.021.076.202.330;t;378;f;f;34079;0
c;62;3.924.451.074.226.350;u;g;no_cc;t;22.489.232.441.066.100;f;423;f;t;69850;0
c;18;816.599.439.471.577;u;g;cc;v;0.9731125591038253;t;770;f;f;92779;0
d;42;4.391.349.085.702.180;y;g;cc;v;1.838.796.754.386.440;t;517;t;t;115408;0
d;24;3.769.444.294.249.070;y;g;no_cc;t;20.706.487.626.446.300;t;815;t;t;29018;0
b;26;4.626.797.856.696.060;y;p;no_cc;t;4.137.689.477.834.370;t;403;t;f;140606;0
c;41;30.137.787.416.414.200;y;g;no_cc;t;36.680.719.028.070.100;t;692;f;t;69500;0
d;18;7.476.093.801.762.510;u;g;no_cc;v;3.846.524.468.206.690;t;733;f;f;140062;0
b;61;5.027.203.900.924.790;y;p;cc;v;0.05515632214323607;f;630;t;f;32100;1
b;25;2.322.126.951.468.170;u;g;cc;t;20.807.699.908.988.000;f;442;f;f;77021;0
b;41;8.995.745.732.745.680;y;g;cc;v;24.067.207.581.766.100;t;839;f;t;134995;0
b;28;38.389.122.137.321.100;y;p;cc;v;0.09596138411528343;f;577;t;f;39800;0
b;68;5.435.528.611.139.880;y;g;no_cc;v;1.299.066.043.725.170;t;532;f;t;148126;0
a;34;906.472.110.964.547;u;g;no_cc;v;3.801.449.115.610.670;t;828;t;t;83400;0
a;25;6.242.379.959.139.920;y;g;cc;t;0.6855485286449953;f;389;t;f;112446;1
c;52;11.689.804.070.836.400;u;p;no_cc;v;26.765.506.572.629.500;f;791;f;f;49437;1
c;52;9.398.321.236.134.750;y;p;cc;t;10.760.093.600.861.800;t;498;t;t;123124;0
c;50;6.277.080.530.714.170;u;g;no_cc;t;0.060603873219466364;f;661;f;f;96537;1
b;22;33.490.561.465.708.600;u;p;cc;v;12.060.072.879.977.000;t;740;t;f;66675;0
c;59;13.927.207.266.338.700;y;p;no_cc;v;4.879.368.774.550.260;f;325;f;f;39942;0
c;56;79.402.518.927.029.500;u;p;cc;v;4.007.685.559.414.940;t;324;t;t;40862;0
d;58;6.200.727.559.285.130;u;g;cc;t;4.797.883.221.605.160;f;693;f;t;31669;1
c;45;5.334.610.919.763.210;u;p;cc;t;24.392.702.196.318.100;t;806;t;f;141219;1
d;24;8.938.925.830.509.570;y;g;no_cc;t;0.5486809933875175;t;600;f;t;73772;0
d;26;7.885.972.112.245.300;y;p;cc;t;2.739.797.444.868.460;t;638;t;t;35916;0
d;25;15.167.487.973.275.100;u;g;cc;v;22.718.866.727.998.000;f;566;f;t;30878;0
a;29;31.172.206.779.554.800;y;p;cc;t;422.178.541.369.808;t;760;f;t;22985;0
d;51;24.848.913.981.446.500;y;p;cc;t;0.49041290392122294;f;755;f;t;117905;1
b;50;743.946.292.572.677;y;p;cc;t;2.441.205.685.108.890;t;659;f;f;93648;0
d;65;0.3353243473577938;y;p;cc;t;0.7502433234699213;t;367;t;f;61235;0
d;40;5.698.896.848.713.160;u;g;no_cc;t;16.233.796.344.502.900;t;711;f;f;38931;0
c;41;7.624.586.857.406.900;y;g;no_cc;t;3.686.785.386.938.990;f;790;f;t;112876;1
b;54;8.767.656.367.617.490;y;g;cc;v;23.800.906.468.438.300;f;348;f;f;20336;0
a;52;34.208.174.871.590.700;y;p;cc;t;18.794.414.257.288.400;t;401;t;t;62933;0
d;61;8.212.573.046.720.120;u;p;no_cc;t;19.723.813.928.501.700;f;515;t;f;104899;0
c;57;11.063.173.695.520.700;u;g;no_cc;v;2.297.233.842.029.930;t;737;f;t;65536;0
c;39;8.464.522.917.345.180;y;p;cc;t;39.250.827.191.852.800;t;458;t;t;89504;0
b;44;12.748.866.233.198.200;u;g;cc;t;4.460.423.444.701.170;f;788;t;t;119214;1
a;52;39.728.729.056.036.700;u;p;cc;v;4.776.673.432.519.640;f;541;t;f;71148;0
c;18;7.972.953.657.795.530;y;p;cc;t;39.345.169.312.764.700;f;304;f;f;133936;0
d;52;14.991.742.734.877.300;y;g;no_cc;v;15.770.344.787.400.600;f;660;f;f;36279;1
d;54;22.925.139.523.264.100;u;p;cc;v;34.406.735.304.327.100;f;758;t;f;88665;1
d;64;7.222.525.683.930.660;u;p;cc;t;21.880.156.202.769.500;f;547;t;t;123751;0
b;31;7.200.365.365.460.740;u;p;cc;t;12.733.531.102.302.500;f;721;t;f;124433;1
d;20;6.411.476.328.852.970;u;g;cc;t;4.204.357.897.129.610;f;314;f;t;91386;1
b;18;6.939.484.444.671.000;y;g;no_cc;t;0.19213174481162498;t;421;f;f;106124;0
b;22;5.427.244.433.475.960;y;p;cc;v;4.508.809.960.677.110;t;576;t;f;125750;0
b;43;25.179.905.890.695.200;y;p;no_cc;t;2.307.387.323.123.670;f;752;t;f;97485;1
a;31;34.569.599.350.391.900;y;g;no_cc;v;31.860.073.840.414.000;t;689;t;f;94055;1
b;56;18.159.771.680.142.500;u;g;cc;v;32.967.696.110.289.100;f;593;f;f;111911;1
d;44;9.084.505.613.336.280;u;g;no_cc;t;4.475.588.703.532.680;f;745;f;t;118618;1
b;26;5.833.917.947.661.200;u;p;cc;t;3.183.348.410.836.030;t;509;f;f;97273;0
a;32;4.008.514.167.636.390;u;p;cc;v;3.069.667.923.800.300;t;601;f;t;86670;1
c;32;4.620.058.036.441.320;u;g;no_cc;t;0.3332602028034498;t;522;f;t;96474;0
d;43;9.472.833.396.118.150;y;g;cc;v;259.204.010.972.602;f;302;t;t;74028;0
b;59;1.533.514.031.160.800;y;g;no_cc;t;0.7508450040852083;t;817;f;f;110022;1
d;30;5.862.298.320.167.970;u;g;cc;t;3.687.168.843.607.420;f;392;f;f;133892;1
c;68;505.888.678.884.466;y;p;cc;v;25.611.096.040.633.700;t;819;t;f;111632;1
b;49;61.145.423.543.464.700;y;g;cc;t;34.011.388.960.417.600;f;727;f;t;126651;1
a;56;0.18110183820840509;u;p;no_cc;v;0.20836450301192133;t;792;t;t;91128;1
c;66;8.721.239.089.441.510;u;g;cc;v;0.4239600802290161;f;534;t;t;38108;0
a;69;9.321.182.824.836.120;y;g;cc;t;35.816.169.403.134.100;f;460;f;t;72495;0
a;49;565.133.183.589.209;y;g;cc;v;0.36042167999336683;t;630;t;f;102806;1
b;21;6.966.508.238.768.920;y;g;cc;v;0.356283638826293;t;632;f;t;113185;1
a;47;9.224.993.811.772.950;y;p;no_cc;t;0.06054237617443725;f;349;t;t;96533;0
b;54;7.072.386.343.133.980;y;g;cc;v;47.825.069.914.974;f;822;t;t;119025;1
c;40;15.253.904.291.426.100;y;p;cc;t;3.687.541.797.295.030;t;791;f;f;76830;0
b;56;5.762.883.601.668.130;u;p;no_cc;t;17.662.570.425.103.200;f;571;f;t;94640;1
b;62;6.067.150.463.828.550;y;g;no_cc;v;14.826.779.064.382.700;f;551;t;f;72509;0
b;32;424.130.671.302.386;u;p;no_cc;t;17.485.161.487.292.400;t;389;f;f;86406;0
c;60;73.644.423.562.472.200;u;g;cc;v;38.732.676.559.059.000;f;745;t;t;114220;1
a;46;9.343.670.147.690.140;y;g;cc;v;3.306.853.055.352.070;t;631;f;f;59519;0
d;53;9.255.685.129.067.760;y;g;cc;v;0.9259778393373397;t;438;f;f;69649;0
a;30;4.508.393.714.041.320;u;g;no_cc;v;0.8705466766704217;t;656;t;f;54524;0
d;49;11.323.804.584.075.500;y;g;cc;v;0.4919782485669866;t;573;f;f;116493;0
c;24;9.848.411.989.623.340;u;g;cc;t;3.301.513.598.506.690;t;318;f;t;53885;0
c;68;8.388.980.864.459.340;y;p;cc;t;38.218.633.111.086.700;t;610;f;f;64369;0
c;39;12.466.268.120.326.600;y;p;no_cc;v;13.252.321.416.250.200;f;453;t;f;121132;1
b;45;9.208.418.826.173.720;y;g;cc;v;0.10472480515456406;f;689;t;f;115402;1
c;19;8.698.963.620.621.280;y;p;cc;t;0.41085833738213673;t;559;f;f;50676;0
a;59;5.188.380.571.260.720;u;p;no_cc;t;4.839.300.174.225.150;t;424;t;f;84093;0
d;62;5.912.754.357.449.290;u;p;no_cc;t;14.772.238.873.871.000;f;653;f;t;67764;1
c;23;39.900.270.387.013.000;u;p;cc;v;3.846.115.739.190.660;f;572;t;f;70799;0
c;45;0.5476163882203133;u;g;no_cc;v;31.233.178.442.713.100;t;544;f;f;99414;0
b;45;33.519.724.164.590.000;y;g;cc;v;19.096.981.982.644.700;t;749;f;t;125296;1
a;61;8.028.534.485.980.110;u;g;cc;v;10.284.363.109.777.700;f;546;t;f;113095;0
b;61;0.04632023004602859;y;g;no_cc;v;0.6069320907970321;f;819;f;t;132082;1
a;37;3.334.991.716.911.440;u;p;cc;v;3.075.064.840.194.330;t;440;f;f;92307;0
d;47;39.816.869.359.094.300;y;g;cc;v;387.316.890.318.894;f;661;t;t;102062;1
c;28;5.373.956.029.379.220;u;p;cc;v;32.195.212.677.056.500;f;307;t;t;115432;1
d;45;9.198.556.164.127.600;y;p;no_cc;v;26.515.106.662.457.900;f;777;t;f;51923;0
a;42;34.634.599.436.596.100;y;g;no_cc;v;0.20975611715818132;t;651;t;t;137449;1
c;56;3.469.532.018.962.270;y;g;cc;v;4.842.443.887.971.910;f;794;t;f;121739;1
d;50;73.750.124.810.974.800;y;g;no_cc;v;39.935.709.582.728.700;f;726;t;t;124926;1
b;18;4.522.179.408.898.070;y;g;no_cc;v;14.641.101.835.048.200;f;338;f;t;98388;1
a;44;22.460.482.293.998.100;y;p;no_cc;v;4.899.851.646.794.250;t;486;t;f;67574;0
d;69;4.524.395.161.326.930;u;g;no_cc;v;30.094.079.481.816.100;t;392;f;f;63391;0
c;30;14.085.702.037.979.900;u;g;no_cc;v;2.912.113.291.036.230;t;385;t;t;148691;0
d;58;1.763.869.865.062.230;y;g;cc;t;37.403.658.971.476.600;f;343;f;f;141757;1
a;20;4.983.677.727.394.790;y;p;cc;v;4.058.848.940.450.680;f;436;f;t;73664;0
b;56;4.189.254.495.045.470;y;p;no_cc;v;32.823.930.366.575.100;f;720;f;t;87384;1
a;23;9.148.459.010.681;u;g;no_cc;v;0.6404787318310001;t;373;f;t;51027;0
a;25;3.623.938.991.166.330;u;p;cc;t;1.691.337.529.972.490;t;847;t;t;55464;0
d;44;5.805.883.502.780.430;u;g;no_cc;v;4.640.418.201.630.240;t;811;f;f;54485;0
a;26;6.322.642.879.195.300;y;g;no_cc;t;11.230.780.592.192.500;f;455;t;f;148366;1
a;54;0.13094456588333636;y;g;no_cc;v;18.608.351.191.875.600;f;554;t;f;39456;0
a;50;6.635.373.720.167.100;y;p;no_cc;t;216.038.441.472.098;f;470;f;f;94795;1
d;68;17.803.596.686.975.100;u;g;cc;v;2.197.024.948.472.260;f;469;t;t;55554;0
c;59;9.610.703.174.694.550;y;g;no_cc;t;30.646.979.124.726.200;t;621;f;t;66922;0
c;61;14.866.272.775.311.200;u;p;cc;v;4.715.379.188.723.530;f;755;f;t;33409;1
d;41;4.146.241.237.270.230;y;g;no_cc;t;1.203.463.559.162.520;f;454;f;f;89327;1
b;32;0.8534966807864386;y;p;no_cc;t;0.6075068815045903;f;648;f;f;111400;1
c;49;9.968.742.518.459.470;u;p;cc;v;0.9873524492996866;f;750;f;t;56639;0
a;49;5.021.950.103.312.420;y;p;no_cc;v;4.434.624.501.046.340;t;472;t;t;120110;0
c;41;5.953.850.173.200.430;y;p;no_cc;v;32.290.540.632.760.300;t;309;f;t;83627;0
a;58;0.6707647738842748;y;g;cc;v;14.295.339.461.958.000;t;564;t;f;103424;0
b;69;7.499.604.703.991.770;y;g;cc;t;4.079.734.694.843.080;t;737;f;f;39692;0
a;66;20.990.559.309.558.500;y;g;no_cc;t;430.684.998.181.718;t;546;t;f;109037;0
c;66;8.980.542.894.407.130;u;p;no_cc;v;4.232.571.693.451.390;t;845;f;f;98840;0
d;69;20.513.964.048.200.700;u;p;no_cc;t;45.946.326.681.977.700;t;798;f;f;74200;0
d;29;19.068.772.066.366.600;y;p;cc;t;1.261.205.100.866.800;f;428;t;f;113063;1
a;56;0.3654966784809488;y;g;cc;v;37.752.096.437.313.900;t;626;t;f;77415;0
b;19;4.720.669.451.099.990;u;g;no_cc;v;23.026.974.863.707;f;703;t;t;38074;1
b;20;5.648.411.332.626.160;u;g;no_cc;v;4.209.992.764.450.300;t;658;t;t;35549;0
b;66;0.6570863942835237;u;g;no_cc;t;3.642.453.385.808.060;f;316;t;t;49963;0
a;54;7.755.276.166.950.100;u;g;cc;t;3.882.237.232.498.620;t;573;t;t;111456;0
d;66;4.532.888.347.480.270;y;g;no_cc;v;32.808.091.884.053.500;t;415;f;t;116362;0
d;34;5.243.902.693.275.800;y;p;no_cc;t;0.8871438473485344;t;390;t;t;121607;0
a;66;4.407.627.469.382.280;y;g;cc;t;27.251.345.944.846.900;f;381;f;f;72265;0
d;19;400.763.060.875.326;u;p;cc;v;4.923.348.697.622.540;t;623;f;t;36061;0
d;19;5.596.403.313.082.170;y;g;cc;t;46.869.403.324.855.900;t;413;t;f;78226;0
b;45;1.552.402.459.307.120;y;p;cc;t;0.21586867898505835;t;357;t;f;48810;0
b;40;18.192.813.049.527.100;u;p;no_cc;v;0.8240740786471856;t;453;f;t;80006;0
d;54;8.617.856.210.135.170;y;g;cc;t;0.6586438672728095;f;703;t;t;142538;1
b;49;9.461.154.621.336.320;y;p;no_cc;t;36.298.995.499.264.700;f;565;t;t;133502;0
c;50;37.330.931.627.975.200;u;p;no_cc;t;4.088.926.649.284.720;t;614;t;t;42800;0
a;18;2.707.446.731.435.530;y;p;cc;t;10.675.568.315.533.500;f;340;t;t;136192;1
c;36;6.439.995.432.390.150;y;p;no_cc;v;2.529.263.464.759.140;t;404;f;t;128959;0
b;19;4.087.341.710.980.960;u;g;no_cc;v;4.203.515.140.056;t;492;t;f;145433;0
a;61;0.2538635566034486;u;p;cc;v;3.664.007.723.831.250;t;700;f;f;127228;1
d;43;15.615.259.736.619.000;u;g;no_cc;t;27.111.860.274.592.400;t;577;f;t;95476;0
b;49;7.159.722.288.473.970;u;p;no_cc;v;29.517.384.522.938.600;f;653;f;f;89460;1
a;23;6.589.239.419.101.510;u;p;no_cc;v;25.418.027.345.814;f;555;t;t;77767;0
c;49;0.2709599250348349;u;g;no_cc;t;14.877.422.565.941.000;t;398;t;t;48054;0
a;21;2.219.721.619.329.490;y;g;no_cc;t;28.251.099.642.950.800;t;581;t;t;95319;0
a;28;2.310.747.965.880.710;y;g;no_cc;v;34.444.265.102.504.500;t;702;t;t;122789;1
d;34;6.718.927.435.987.280;u;g;no_cc;v;4.366.614.579.304.030;t;408;t;f;65397;0
c;55;0.19710537754364155;y;p;cc;t;31.814.567.698.962.400;t;498;f;f;33233;0
c;41;10.410.858.198.457.300;y;g;no_cc;t;380.560.768.521.579;f;602;t;t;131205;1
a;22;7.999.160.853.731.890;u;g;cc;t;0.800358174772865;f;626;f;t;110020;1
c;69;17.854.466.205.433.300;y;g;cc;t;23.077.873.720.989.400;t;453;t;f;45068;0
d;51;6.527.461.078.518.740;u;p;no_cc;t;0.04665809913546648;f;704;t;f;85727;1
a;23;2.381.827.810.467.260;y;p;no_cc;t;1.233.394.322.608.110;f;761;f;f;110610;1
b;39;0.9944139275934516;u;p;cc;v;3.632.308.575.565.020;f;431;f;f;90453;1
c;28;24.317.219.099.945.400;y;g;cc;v;49.590.497.567.468.100;t;383;f;f;124135;0
d;65;72.226.693.185.565.900;y;g;no_cc;v;0.49589049793607953;f;698;t;t;45832;0
b;33;8.556.964.681.062.850;u;p;cc;t;20.074.715.793.064.400;f;408;f;t;128464;0
d;50;8.302.198.645.669.910;y;g;cc;v;4.000.354.843.495.790;t;520;t;t;106242;0
c;26;39.718.352.961.845.400;u;p;no_cc;t;10.201.781.731.444.900;f;667;f;t;33682;1
b;23;6.680.851.365.706.460;u;g;cc;v;27.754.247.465.114.300;f;446;f;f;112298;1
a;33;20.498.429.541.582.000;u;g;no_cc;t;3.665.356.480.148.370;f;411;f;t;43383;0
a;46;29.314.773.026.101.300;u;g;no_cc;v;30.799.272.513.008.900;f;793;t;t;78160;1
d;20;8.963.358.185.211.190;u;g;no_cc;t;0.9401236730770807;f;804;t;f;113332;1
c;37;0.13001923510736035;u;p;cc;t;1.776.922.843.428.690;t;774;f;t;43666;0
a;53;0.8550853085446808;y;g;no_cc;v;39.189.589.224.269.800;t;570;f;t;78817;0
a;36;2.078.862.551.460.270;y;p;cc;v;27.711.325.706.600.800;f;720;f;f;111198;1
a;43;0.26532203873819715;y;p;cc;t;0.026148067714563683;t;666;t;t;130695;1
b;20;18.143.543.508.979.700;y;g;no_cc;t;38.049.538.001.404.600;t;579;f;t;54642;0
c;36;5.830.415.609.696.920;u;p;cc;t;0.17655677470119535;f;582;t;t;61830;0
a;37;4.214.245.505.924.970;u;g;no_cc;v;3.728.668.913.656.160;t;339;f;t;123067;0
c;49;8.926.717.110.769.740;u;g;cc;t;1.012.402.800.826.180;f;488;t;t;30234;0
d;24;817.443.561.738.441;y;g;cc;v;4.790.367.400.596.900;f;463;f;f;77616;0
c;69;34.181.735.169.787.500;u;p;no_cc;t;18.397.037.565.104.200;t;835;t;t;29221;0
d;58;2.594.234.334.312.920;u;p;no_cc;t;16.346.580.816.903.900;t;835;t;f;31410;0
d;50;37.969.240.816.726.600;y;p;cc;t;0.7444402516622234;t;303;f;t;100055;0
c;57;5.902.949.425.148.070;u;g;cc;t;15.280.210.774.510.700;t;589;f;t;81413;0
c;56;26.806.364.082.287.600;y;p;no_cc;t;4.383.253.809.141.000;t;732;f;t;21051;0
b;35;624.148.907.849.134;y;g;no_cc;t;4.981.671.688.136.230;t;770;f;t;130529;1
a;57;40.941.165.219.124.000;y;g;cc;t;18.415.476.525.342.400;t;480;f;f;95301;0
a;18;5.520.471.808.519.800;y;p;cc;v;22.430.531.547.727.100;f;547;f;f;96918;1
