A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A14,Class
b,62,6.651972207,u,p,no_cc,t,2.63520732,t,525,t,t,31874,0
d,58,5.230654248,y,p,no_cc,v,2.130416919,f,711,f,f,113065,1
a,46,3.588304841,u,g,cc,v,0.6535518837,t,504,f,t,106402,0
b,32,8.772005408,y,g,cc,t,4.433021076,t,378,f,f,34079,0
c,62,3.924451074,u,g,no_cc,t,2.248923244,f,423,f,t,69850,0
c,18,8.165994395,u,g,cc,v,0.9731125591,t,770,f,f,92779,0
d,42,4.391349086,y,g,cc,v,1.838796754,t,517,t,t,115408,0
d,24,3.769444294,y,g,no_cc,t,2.070648763,t,815,t,t,29018,0
b,26,4.626797857,y,p,no_cc,t,4.137689478,t,403,t,f,140606,0
c,41,3.013778742,y,g,no_cc,t,3.668071903,t,692,f,t,69500,0
d,18,7.476093802,u,g,no_cc,v,3.846524468,t,733,f,f,140062,0
b,61,5.027203901,y,p,cc,v,0.05515632214,f,630,t,f,32100,1
b,25,2.322126951,u,g,cc,t,2.080769991,f,442,f,f,77021,0
b,41,8.995745733,y,g,cc,v,2.406720758,t,839,f,t,134995,0
b,28,3.838912214,y,p,cc,v,0.09596138412,f,577,t,f,39800,0
b,68,5.435528611,y,g,no_cc,v,1.299066044,t,532,f,t,148126,0
a,34,9.06472111,u,g,no_cc,v,3.801449116,t,828,t,t,83400,0
a,25,6.242379959,y,g,cc,t,0.6855485286,f,389,t,f,112446,1
c,52,1.168980407,u,p,no_cc,v,2.676550657,f,791,f,f,49437,1
c,52,9.398321236,y,p,cc,t,1.07600936,t,498,t,t,123124,0
c,50,6.277080531,u,g,no_cc,t,0.06060387322,f,661,f,f,96537,1
b,22,3.349056147,u,p,cc,v,1.206007288,t,740,t,f,66675,0
c,59,1.392720727,y,p,no_cc,v,4.879368775,f,325,f,f,39942,0
c,56,7.940251893,u,p,cc,v,4.007685559,t,324,t,t,40862,0
d,58,6.200727559,u,g,cc,t,4.797883222,f,693,f,t,31669,1
c,45,5.33461092,u,p,cc,t,2.43927022,t,806,t,f,141219,1
d,24,8.938925831,y,g,no_cc,t,0.5486809934,t,600,f,t,73772,0
d,26,7.885972112,y,p,cc,t,2.739797445,t,638,t,t,35916,0
d,25,1.516748797,u,g,cc,v,2.271886673,f,566,f,t,30878,0
a,29,3.117220678,y,p,cc,t,4.221785414,t,760,f,t,22985,0
d,51,2.484891398,y,p,cc,t,0.4904129039,f,755,f,t,117905,1
b,50,7.439462926,y,p,cc,t,2.441205685,t,659,f,f,93648,0
d,65,0.3353243474,y,p,cc,t,0.7502433235,t,367,t,f,61235,0
d,40,5.698896849,u,g,no_cc,t,1.623379634,t,711,f,f,38931,0
c,41,7.624586857,y,g,no_cc,t,3.686785387,f,790,f,t,112876,1
b,54,8.767656368,y,g,cc,v,2.380090647,f,348,f,f,20336,0
a,52,3.420817487,y,p,cc,t,1.879441426,t,401,t,t,62933,0
d,61,8.212573047,u,p,no_cc,t,1.972381393,f,515,t,f,104899,0
c,57,1.10631737,u,g,no_cc,v,2.297233842,t,737,f,t,65536,0
c,39,8.464522917,y,p,cc,t,3.925082719,t,458,t,t,89504,0
b,44,1.274886623,u,g,cc,t,4.460423445,f,788,t,t,119214,1
a,52,3.972872906,u,p,cc,v,4.776673433,f,541,t,f,71148,0
c,18,7.972953658,y,p,cc,t,3.934516931,f,304,f,f,133936,0
d,52,1.499174273,y,g,no_cc,v,1.577034479,f,660,f,f,36279,1
d,54,2.292513952,u,p,cc,v,3.44067353,f,758,t,f,88665,1
d,64,7.222525684,u,p,cc,t,2.18801562,f,547,t,t,123751,0
b,31,7.200365365,u,p,cc,t,1.27335311,f,721,t,f,124433,1
d,20,6.411476329,u,g,cc,t,4.204357897,f,314,f,t,91386,1
b,18,6.939484445,y,g,no_cc,t,0.1921317448,t,421,f,f,106124,0
b,22,5.427244433,y,p,cc,v,4.508809961,t,576,t,f,125750,0
b,43,2.517990589,y,p,no_cc,t,2.307387323,f,752,t,f,97485,1
a,31,3.456959935,y,g,no_cc,v,3.186007384,t,689,t,f,94055,1
b,56,1.815977168,u,g,cc,v,3.296769611,f,593,f,f,111911,1
d,44,9.084505613,u,g,no_cc,t,4.475588704,f,745,f,t,118618,1
b,26,5.833917948,u,p,cc,t,3.183348411,t,509,f,f,97273,0
a,32,4.008514168,u,p,cc,v,3.069667924,t,601,f,t,86670,1
c,32,4.620058036,u,g,no_cc,t,0.3332602028,t,522,f,t,96474,0
d,43,9.472833396,y,g,cc,v,2.59204011,f,302,t,t,74028,0
b,59,1.533514031,y,g,no_cc,t,0.7508450041,t,817,f,f,110022,1
d,30,5.86229832,u,g,cc,t,3.687168844,f,392,f,f,133892,1
c,68,5.058886789,y,p,cc,v,2.561109604,t,819,t,f,111632,1
b,49,6.114542354,y,g,cc,t,3.401138896,f,727,f,t,126651,1
a,56,0.1811018382,u,p,no_cc,v,0.208364503,t,792,t,t,91128,1
c,66,8.721239089,u,g,cc,v,0.4239600802,f,534,t,t,38108,0
a,69,9.321182825,y,g,cc,t,3.58161694,f,460,f,t,72495,0
a,49,5.651331836,y,g,cc,v,0.36042168,t,630,t,f,102806,1
b,21,6.966508239,y,g,cc,v,0.3562836388,t,632,f,t,113185,1
a,47,9.224993812,y,p,no_cc,t,0.06054237617,f,349,t,t,96533,0
b,54,7.072386343,y,g,cc,v,4.782506991,f,822,t,t,119025,1
c,40,1.525390429,y,p,cc,t,3.687541797,t,791,f,f,76830,0
b,56,5.762883602,u,p,no_cc,t,1.766257043,f,571,f,t,94640,1
b,62,6.067150464,y,g,no_cc,v,1.482677906,f,551,t,f,72509,0
b,32,4.241306713,u,p,no_cc,t,1.748516149,t,389,f,f,86406,0
c,60,7.364442356,u,g,cc,v,3.873267656,f,745,t,t,114220,1
a,46,9.343670148,y,g,cc,v,3.306853055,t,631,f,f,59519,0
d,53,9.255685129,y,g,cc,v,0.9259778393,t,438,f,f,69649,0
a,30,4.508393714,u,g,no_cc,v,0.8705466767,t,656,t,f,54524,0
d,49,1.132380458,y,g,cc,v,0.4919782486,t,573,f,f,116493,0
c,24,9.84841199,u,g,cc,t,3.301513599,t,318,f,t,53885,0
c,68,8.388980864,y,p,cc,t,3.821863311,t,610,f,f,64369,0
c,39,1.246626812,y,p,no_cc,v,1.325232142,f,453,t,f,121132,1
b,45,9.208418826,y,g,cc,v,0.1047248052,f,689,t,f,115402,1
c,19,8.698963621,y,p,cc,t,0.4108583374,t,559,f,f,50676,0
a,59,5.188380571,u,p,no_cc,t,4.839300174,t,424,t,f,84093,0
d,62,5.912754357,u,p,no_cc,t,1.477223887,f,653,f,t,67764,1
c,23,3.990027039,u,p,cc,v,3.846115739,f,572,t,f,70799,0
c,45,0.5476163882,u,g,no_cc,v,3.123317844,t,544,f,f,99414,0
b,45,3.351972416,y,g,cc,v,1.909698198,t,749,f,t,125296,1
a,61,8.028534486,u,g,cc,v,1.028436311,f,546,t,f,113095,0
b,61,0.04632023005,y,g,no_cc,v,0.6069320908,f,819,f,t,132082,1
a,37,3.334991717,u,p,cc,v,3.07506484,t,440,f,f,92307,0
d,47,3.981686936,y,g,cc,v,3.873168903,f,661,t,t,102062,1
c,28,5.373956029,u,p,cc,v,3.219521268,f,307,t,t,115432,1
d,45,9.198556164,y,p,no_cc,v,2.651510666,f,777,t,f,51923,0
a,42,3.463459944,y,g,no_cc,v,0.2097561172,t,651,t,t,137449,1
c,56,3.469532019,y,g,cc,v,4.842443888,f,794,t,f,121739,1
d,50,7.375012481,y,g,no_cc,v,3.993570958,f,726,t,t,124926,1
b,18,4.522179409,y,g,no_cc,v,1.464110184,f,338,f,t,98388,1
a,44,2.246048229,y,p,no_cc,v,4.899851647,t,486,t,f,67574,0
d,69,4.524395161,u,g,no_cc,v,3.009407948,t,392,f,f,63391,0
c,30,1.408570204,u,g,no_cc,v,2.912113291,t,385,t,t,148691,0
d,58,1.763869865,y,g,cc,t,3.740365897,f,343,f,f,141757,1
a,20,4.983677727,y,p,cc,v,4.05884894,f,436,f,t,73664,0
b,56,4.189254495,y,p,no_cc,v,3.282393037,f,720,f,t,87384,1
a,23,9.148459011,u,g,no_cc,v,0.6404787318,t,373,f,t,51027,0
a,25,3.623938991,u,p,cc,t,1.69133753,t,847,t,t,55464,0
d,44,5.805883503,u,g,no_cc,v,4.640418202,t,811,f,f,54485,0
a,26,6.322642879,y,g,no_cc,t,1.123078059,f,455,t,f,148366,1
a,54,0.1309445659,y,g,no_cc,v,1.860835119,f,554,t,f,39456,0
a,50,6.63537372,y,p,no_cc,t,2.160384415,f,470,f,f,94795,1
d,68,1.780359669,u,g,cc,v,2.197024948,f,469,t,t,55554,0
c,59,9.610703175,y,g,no_cc,t,3.064697912,t,621,f,t,66922,0
c,61,1.486627278,u,p,cc,v,4.715379189,f,755,f,t,33409,1
d,41,4.146241237,y,g,no_cc,t,1.203463559,f,454,f,f,89327,1
b,32,0.8534966808,y,p,no_cc,t,0.6075068815,f,648,f,f,111400,1
c,49,9.968742518,u,p,cc,v,0.9873524493,f,750,f,t,56639,0
a,49,5.021950103,y,p,no_cc,v,4.434624501,t,472,t,t,120110,0
c,41,5.953850173,y,p,no_cc,v,3.229054063,t,309,f,t,83627,0
a,58,0.6707647739,y,g,cc,v,1.429533946,t,564,t,f,103424,0
b,69,7.499604704,y,g,cc,t,4.079734695,t,737,f,f,39692,0
a,66,2.099055931,y,g,no_cc,t,4.306849982,t,546,t,f,109037,0
c,66,8.980542894,u,p,no_cc,v,4.232571693,t,845,f,f,98840,0
d,69,2.051396405,u,p,no_cc,t,4.594632668,t,798,f,f,74200,0
d,29,1.906877207,y,p,cc,t,1.261205101,f,428,t,f,113063,1
a,56,0.3654966785,y,g,cc,v,3.775209644,t,626,t,f,77415,0
b,19,4.720669451,u,g,no_cc,v,2.302697486,f,703,t,t,38074,1
b,20,5.648411333,u,g,no_cc,v,4.209992764,t,658,t,t,35549,0
b,66,0.6570863943,u,g,no_cc,t,3.642453386,f,316,t,t,49963,0
a,54,7.755276167,u,g,cc,t,3.882237232,t,573,t,t,111456,0
d,66,4.532888347,y,g,no_cc,v,3.280809188,t,415,f,t,116362,0
d,34,5.243902693,y,p,no_cc,t,0.8871438473,t,390,t,t,121607,0
a,66,4.407627469,y,g,cc,t,2.725134594,f,381,f,f,72265,0
d,19,4.007630609,u,p,cc,v,4.923348698,t,623,f,t,36061,0
d,19,5.596403313,y,g,cc,t,4.686940332,t,413,t,f,78226,0
b,45,1.552402459,y,p,cc,t,0.215868679,t,357,t,f,48810,0
b,40,1.819281305,u,p,no_cc,v,0.8240740786,t,453,f,t,80006,0
d,54,8.61785621,y,g,cc,t,0.6586438673,f,703,t,t,142538,1
b,49,9.461154621,y,p,no_cc,t,3.62989955,f,565,t,t,133502,0
c,50,3.733093163,u,p,no_cc,t,4.088926649,t,614,t,t,42800,0
a,18,2.707446731,y,p,cc,t,1.067556832,f,340,t,t,136192,1
c,36,6.439995432,y,p,no_cc,v,2.529263465,t,404,f,t,128959,0
b,19,4.087341711,u,g,no_cc,v,4.20351514,t,492,t,f,145433,0
a,61,0.2538635566,u,p,cc,v,3.664007724,t,700,f,f,127228,1
d,43,1.561525974,u,g,no_cc,t,2.711186027,t,577,f,t,95476,0
b,49,7.159722288,u,p,no_cc,v,2.951738452,f,653,f,f,89460,1
a,23,6.589239419,u,p,no_cc,v,2.541802735,f,555,t,t,77767,0
c,49,0.270959925,u,g,no_cc,t,1.487742257,t,398,t,t,48054,0
a,21,2.219721619,y,g,no_cc,t,2.825109964,t,581,t,t,95319,0
a,28,2.310747966,y,g,no_cc,v,3.44442651,t,702,t,t,122789,1
d,34,6.718927436,u,g,no_cc,v,4.366614579,t,408,t,f,65397,0
c,55,0.1971053775,y,p,cc,t,3.18145677,t,498,f,f,33233,0
c,41,1.04108582,y,g,no_cc,t,3.805607685,f,602,t,t,131205,1
a,22,7.999160854,u,g,cc,t,0.8003581748,f,626,f,t,110020,1
c,69,1.785446621,y,g,cc,t,2.307787372,t,453,t,f,45068,0
d,51,6.527461079,u,p,no_cc,t,0.04665809914,f,704,t,f,85727,1
a,23,2.38182781,y,p,no_cc,t,1.233394323,f,761,f,f,110610,1
b,39,0.9944139276,u,p,cc,v,3.632308576,f,431,f,f,90453,1
c,28,2.43172191,y,g,cc,v,4.959049757,t,383,f,f,124135,0
d,65,7.222669319,y,g,no_cc,v,0.4958904979,f,698,t,t,45832,0
b,33,8.556964681,u,p,cc,t,2.007471579,f,408,f,t,128464,0
d,50,8.302198646,y,g,cc,v,4.000354843,t,520,t,t,106242,0
c,26,3.971835296,u,p,no_cc,t,1.020178173,f,667,f,t,33682,1
b,23,6.680851366,u,g,cc,v,2.775424747,f,446,f,f,112298,1
a,33,2.049842954,u,g,no_cc,t,3.66535648,f,411,f,t,43383,0
a,46,2.931477303,u,g,no_cc,v,3.079927251,f,793,t,t,78160,1
d,20,8.963358185,u,g,no_cc,t,0.9401236731,f,804,t,f,113332,1
c,37,0.1300192351,u,p,cc,t,1.776922843,t,774,f,t,43666,0
a,53,0.8550853085,y,g,no_cc,v,3.918958922,t,570,f,t,78817,0
a,36,2.078862551,y,p,cc,v,2.771132571,f,720,f,f,111198,1
a,43,0.2653220387,y,p,cc,t,0.02614806771,t,666,t,t,130695,1
b,20,1.814354351,y,g,no_cc,t,3.8049538,t,579,f,t,54642,0
c,36,5.83041561,u,p,cc,t,0.1765567747,f,582,t,t,61830,0
a,37,4.214245506,u,g,no_cc,v,3.728668914,t,339,f,t,123067,0
c,49,8.926717111,u,g,cc,t,1.012402801,f,488,t,t,30234,0
d,24,8.174435617,y,g,cc,v,4.790367401,f,463,f,f,77616,0
c,69,3.418173517,u,p,no_cc,t,1.839703757,t,835,t,t,29221,0
d,58,2.594234334,u,p,no_cc,t,1.634658082,t,835,t,f,31410,0
d,50,3.796924082,y,p,cc,t,0.7444402517,t,303,f,t,100055,0
c,57,5.902949425,u,g,cc,t,1.528021077,t,589,f,t,81413,0
c,56,2.680636408,y,p,no_cc,t,4.383253809,t,732,f,t,21051,0
b,35,6.241489078,y,g,no_cc,t,4.981671688,t,770,f,t,130529,1
a,57,4.094116522,y,g,cc,t,1.841547653,t,480,f,f,95301,0
a,18,5.520471809,y,p,cc,v,2.243053155,f,547,f,f,96918,1
a,28,4.361265291,y,g,cc,t,3.610354691,f,578,t,f,98116,1
b,45,2.944657595,u,g,cc,v,4.430978902,t,553,f,f,142226,0
c,42,9.48453307,u,g,cc,t,2.965221671,t,480,t,f,76563,0
b,67,7.636057942,y,g,cc,t,1.957628491,t,808,t,t,117859,0
c,40,1.401131758,y,p,no_cc,v,2.063109204,f,625,f,f,64757,1
c,48,8.684679759,y,g,cc,t,3.478090732,f,656,f,t,146169,1
b,47,4.874311982,y,p,no_cc,v,0.01609131802,f,690,f,t,141008,1
c,59,8.945522269,y,p,no_cc,v,3.097946687,t,384,f,f,97475,0
b,52,7.998552559,y,g,cc,t,1.777465052,t,616,f,t,71257,0
b,24,4.252135045,y,g,cc,t,3.970986656,f,511,f,f,115500,1
d,33,0.2246930832,y,p,cc,v,0.4649531991,t,814,f,t,20307,0
a,43,2.686773594,y,p,no_cc,t,2.941011335,f,683,f,t,76889,1
b,65,5.416342147,u,p,no_cc,v,2.404864449,t,641,t,f,88895,1
a,69,6.334782198,u,g,cc,v,3.21162763,f,337,t,f,115184,1
c,66,2.578876854,y,g,cc,t,0.3242679724,t,810,f,t,55944,0
c,19,1.393560741,y,g,cc,v,2.899918937,f,719,t,f,119555,1
b,18,8.349302368,y,p,no_cc,t,2.80742294,t,468,f,t,58134,0
c,65,9.844021807,u,g,no_cc,t,2.803300472,f,642,f,f,47323,0
a,29,5.256901823,y,g,cc,v,3.017438333,f,605,t,t,136205,1
a,22,1.716792858,y,p,cc,v,3.382339686,f,841,t,f,91762,1
a,54,2.723073265,y,g,cc,v,4.024944998,t,836,f,f,107225,1
d,49,0.1839067655,y,p,cc,v,1.349103601,f,411,t,t,116507,1
d,26,9.142988066,y,p,no_cc,t,4.125247051,t,710,t,t,45954,0
b,58,1.177510829,u,g,cc,v,2.491278411,t,505,t,t,75021,0
d,52,5.765164755,y,p,no_cc,t,0.3852913957,f,484,t,t,109959,1
a,36,2.740552207,u,g,cc,t,0.2927546462,f,681,f,f,115927,1
c,65,5.541780025,y,p,no_cc,v,1.671191593,f,795,t,f,99866,1
d,33,6.514203884,y,p,no_cc,v,3.924484886,f,678,f,t,90427,1
d,20,8.297418037,u,g,no_cc,v,3.538404674,f,346,f,t,24992,0
a,37,2.064212718,u,g,no_cc,v,3.943074823,t,827,t,t,21961,0
d,41,0.1099582866,u,g,no_cc,v,2.586345282,t,803,f,f,32497,0
d,50,1.368856301,u,g,cc,t,2.20099499,t,321,t,t,137551,0
c,41,9.000186418,u,p,cc,t,0.7372626335,f,512,t,t,52551,0
b,69,8.738900776,y,g,no_cc,v,1.640963768,t,609,t,f,96384,0
a,28,5.974131022,u,g,no_cc,t,2.170096831,f,571,f,f,145374,1
c,66,6.005168604,y,g,cc,t,0.4430021484,f,501,f,t,75755,0
b,25,6.650366745,y,p,cc,t,1.103059764,t,331,t,f,33255,0
a,53,1.753712786,u,g,cc,v,2.99112647,t,742,f,f,24567,0
c,55,9.144119459,y,p,cc,t,3.678315571,f,461,f,t,68847,0
a,57,4.187705249,u,p,no_cc,v,4.991737557,f,553,f,t,124817,1
c,37,3.831385282,y,p,cc,t,4.665566657,f,820,f,t,68003,1
d,52,5.189177053,u,p,cc,v,3.212825998,t,779,f,f,40389,0
c,65,0.4696596678,u,p,cc,t,2.106240266,f,309,f,t,64523,0
b,42,1.662833688,u,p,cc,t,3.180886824,f,804,t,f,143802,1
c,52,7.380336164,y,p,no_cc,v,3.92825809,f,735,t,f,81576,1
b,42,0.8279866793,y,p,no_cc,t,0.5916809546,f,410,f,f,147342,1
d,46,6.031521095,y,p,no_cc,v,2.049524448,t,452,t,t,63919,0
c,35,2.453491097,u,g,cc,t,4.199011428,t,401,f,f,102103,0
b,63,3.89295614,y,g,no_cc,t,1.91916476,t,490,t,f,142443,0
a,35,2.886937368,y,p,cc,t,2.859361356,f,380,f,f,23358,0
d,19,3.556727165,u,p,cc,v,2.938846804,t,788,t,t,108535,1
b,52,7.190459052,y,g,no_cc,t,0.9223812657,t,387,t,t,127894,0
b,33,2.971217156,u,g,no_cc,t,1.811177208,f,493,f,f,141485,1
b,58,5.664046403,u,g,cc,v,1.672556444,f,403,f,t,96524,1
a,53,4.760504022,u,p,cc,v,0.1309835427,f,395,t,t,143416,1
c,50,6.636711654,u,g,cc,v,0.1209588195,f,722,t,t,125982,1
a,21,9.368297393,y,p,cc,t,4.158485218,f,497,t,f,117057,0
a,50,7.325720972,y,g,cc,t,1.36535405,t,300,t,t,25698,0
d,31,2.149403786,u,g,cc,t,2.590393831,f,706,t,f,86809,1
c,38,0.3118313506,y,g,cc,t,1.493627868,t,677,t,t,113079,1
a,65,2.622640443,u,p,no_cc,v,4.703396226,t,466,t,t,75805,0
d,37,5.950779307,y,g,cc,v,1.296483794,t,808,t,t,51349,0
b,25,0.5142581348,y,p,cc,t,2.148284064,f,612,t,t,96777,1
d,24,4.963662472,y,p,cc,t,4.363651252,t,717,t,t,70248,0
a,20,5.968428489,y,g,no_cc,t,4.209667834,t,776,t,f,95033,1
a,34,3.342438908,u,p,cc,v,0.9305070892,f,372,t,t,127411,1
b,50,7.709122037,u,g,no_cc,t,4.013216549,t,440,f,f,118239,0
c,65,1.065982531,u,g,no_cc,t,2.290934434,f,561,t,f,64041,0
b,29,0.7513778174,y,g,cc,v,2.41484436,f,639,f,t,51954,1
a,68,7.281887562,u,p,cc,t,0.6673998621,t,607,f,t,28002,0
b,39,4.954913162,y,g,cc,v,0.4030075688,t,544,f,t,89783,0
a,39,6.884023964,y,p,cc,t,3.639696535,t,814,f,f,127524,1
d,63,4.348273386,y,g,cc,t,2.482305762,f,636,t,t,107234,1
d,47,2.464020332,u,p,no_cc,t,2.184253513,t,375,f,t,144857,0
c,55,8.191023177,y,g,no_cc,t,3.647541143,f,474,f,t,39738,0
d,55,7.99415879,u,p,cc,t,3.827564495,f,408,t,f,30703,0
